id,prompt_index,prompt
1001,5,"The young photographer in the cherry-red beanie and army-green jacket climbs the metal stairs onto an overpass that crosses the main avenue. Reaching the middle, he leans against the railing and aims the black film camera down at the rivers of headlights below. The canvas tote settles across his back, and the cool night wind nudges loose strands of hair from beneath his beanie. The city's neon sprawl unfolds beyond him, deep blue at the horizon. Medium tracking shot pulling back gently to include the railing and the city beyond."
1002,0,"A businesswoman in a tan trench coat and pressed navy slacks strides into a glass-canyon financial district at midday. She carries a slate-gray leather portfolio under her right arm and her dark hair is pulled into a low, neat bun. Sunlight glints off the mirrored facades of office towers stacked tightly along the avenue. Suited workers stream past her in both directions but she holds a steady, purposeful pace. Her expression is composed and slightly preoccupied. Medium tracking shot moving alongside her at shoulder height."
1002,1,"The businesswoman in the tan trench coat and navy slacks slips between two parked delivery vans and rejoins the sidewalk near a corner newsstand. She slows just enough to glance at a stack of newspapers without breaking stride, the slate-gray portfolio firm against her ribs. Her low bun stays perfectly in place as a breeze tugs at the open hem of her trench coat. A taxi horn blares somewhere out of frame. Medium tracking shot moving alongside her at shoulder height."
1002,2,"The businesswoman in the tan trench coat and navy slacks rounds a corner past a tall revolving door spinning slowly with the foot traffic of a glass-fronted bank. She gives the door a glancing look but does not enter, continuing along the polished black granite of the building's base. The slate-gray portfolio shifts higher under her arm as she sidesteps a man carrying coffee. The low bun catches a brief flash of reflected light. Medium tracking shot moving alongside her at shoulder height."
1002,3,"The businesswoman in the tan trench coat and navy slacks crosses a small open plaza where a low circular fountain pulses water into the air. She skirts the edge of the fountain pool, the slate-gray portfolio clamped tightly under her arm to keep it dry. Spray catches the sun in a fine mist and a few drops dot the front of her coat. Her composed expression does not change. Medium tracking shot moving alongside her at shoulder height."
1002,4,"The businesswoman in the tan trench coat and navy slacks reaches a subway entrance set into the corner of a granite tower. She hesitates at the top of the stairs, glancing down into the warm-lit tunnel of commuters, then chooses to keep walking past it. The slate-gray portfolio rocks back against her side as she resumes her stride. Her low bun stays sleek as she rejoins the steady current of suits and dresses on the sidewalk. Medium tracking shot moving alongside her at shoulder height."
1002,5,"The businesswoman in the tan trench coat and navy slacks emerges onto a new block where the canyon opens into a wider boulevard lined with leafy ginkgo trees. She slows for the first time, lifting her face slightly to the dappled sun filtering through the branches. The slate-gray portfolio comes to rest against her thigh as she stops at a crosswalk. A faint, private smile finally touches her mouth. Medium tracking shot pulling back gently to include the ginkgo canopy overhead."
1003,0,"A weathered street vendor in a sun-bleached blue djellaba pushes a hand-built wooden cart through the arched gate of a Marrakech medina at midmorning. His skin is deeply tanned and a faded red fez sits crooked on his head, and the cart is piled with woven baskets and brass teapots. Pink stucco walls rise on either side of the narrow lane, and the call to prayer fades into the air ahead of him. He hums to himself as the cart wheels rattle over uneven stone. Medium tracking shot following the cart from behind and to the side."
1003,1,"The vendor in the sun-bleached blue djellaba and red fez maneuvers his wooden cart past a spice stall stacked with cones of saffron, paprika, and cumin in vivid orange and yellow heaps. He nods at a friend behind the counter without slowing, and the cart's brass teapots clink softly as a wheel hits a raised stone. His hand stays firm on the smooth wooden handle and the woven baskets sway gently with each step. Medium tracking shot following the cart from behind and to the side."
1003,2,"The vendor in the sun-bleached blue djellaba and red fez ducks under a low, blue-tiled archway, briefly lifting the front rail of the cart so the basket pile clears the keystone. Cool shadow pools beneath the arch and the temperature drops noticeably on his face. The brass teapots flash for a moment as a shaft of light catches them. He emerges on the other side into a tighter section of the lane. Medium tracking shot following the cart from behind and to the side."
1003,3,"The vendor in the sun-bleached blue djellaba and red fez slows at a small tile fountain set into a corner where children are filling a clay jug. He waits patiently for them to finish, the cart's wheels resting against the gutter. He removes the red fez briefly to wipe his brow, then settles it back into place. The woven baskets cast small geometric shadows along the pink stucco. Medium tracking shot following the cart from behind and to the side."
1003,4,"The vendor in the sun-bleached blue djellaba and red fez pushes the wooden cart through a textile section where bolts of dyed wool in indigo, crimson, and emerald hang from every doorway. The fabrics nearly brush the brass teapots as the cart squeezes through, and the air smells faintly of lanolin. He smiles at a shopkeeper sweeping his threshold and exchanges a brief greeting. Medium tracking shot following the cart from behind and to the side."
1003,5,"The vendor in the sun-bleached blue djellaba and red fez wheels his cart out of the lane and into the open expanse of the main square, where snake charmers and orange-juice carts are already drawing tourists. He angles toward a familiar patch of pavement beside an old fig tree and gently sets the cart's brace down. The woven baskets settle with a soft creak and the brass teapots tip toward each other. He looks out across the square with quiet pride. Medium tracking shot pulling back to take in the wide bustle of the square."
1010,0,"A solo hiker in a forest-green parka and amber-rimmed glasses steps off a packed dirt trail into a misty pine forest at early morning. She wears a heavy gray wool hat and a small khaki daypack with a rolled foam mat strapped on top. Tall lodgepole pines disappear upward into a low, drifting fog and ferns crowd the trail edges. Cold breath plumes from her mouth as she pauses to read a small wooden sign nailed to a trunk. Medium wide tracking shot at chest height following her among the trees."
1010,1,"The hiker in the forest-green parka and amber-rimmed glasses pushes onward as the trail descends into a hollow carpeted in soft brown needles. She steps carefully over a thick mossy root, the gray wool hat brushing under a low branch as she ducks. Mist trails behind her boots and the khaki daypack rises and falls with her breath. The forest is hushed except for the distant tap of a woodpecker. Medium wide tracking shot at chest height following her among the trees."
1010,2,"The hiker in the forest-green parka and amber-rimmed glasses comes upon a small clearing where a fallen log lies green with lichen and small white mushrooms. She climbs over the log, balancing for a moment with one hand on the bark, then drops down on the other side. The gray wool hat slips slightly and she nudges it back into place. The khaki daypack thumps gently as she lands. Medium wide tracking shot at chest height following her among the trees."
1010,3,"The hiker in the forest-green parka and amber-rimmed glasses follows a thin stream that snakes between mossy stones in a sun-dappled glade. She stops to crouch at its edge, the rolled foam mat on her daypack catching a stray sunbeam. She cups a hand into the water, looks at it for a moment, then lets it drip back. The gray wool hat falls forward and she pushes it up with her wrist. Medium wide tracking shot at chest height following her among the trees."
1010,4,"The hiker in the forest-green parka and amber-rimmed glasses climbs a series of stone steps cut into a hillside slick with damp moss. Ferns brush her sleeves on either side and the gray wool hat catches a hanging strand of spider silk. She uses both hands occasionally for balance, the khaki daypack pulling slightly as the grade steepens. Sun is beginning to break through the fog overhead. Medium wide tracking shot at chest height following her among the trees."
1010,5,"The hiker in the forest-green parka and amber-rimmed glasses crests the hillside into a small ridgetop opening where the fog has parted to reveal a sea of pine tops below. She steps to a flat boulder at the edge and stands quietly, the khaki daypack settling against her back. The gray wool hat shifts in a gust of cooler wind and she smiles broadly for the first time. Sun warms the lenses of her amber-rimmed glasses. Medium wide tracking shot pulling back to include the wide forest view beyond her."
1011,0,A lean Bedouin in a deep indigo robe and white headscarf walks slowly across a rust-colored dune field under a hard blue afternoon sky. A leather water skin hangs at his hip and a curved walking staff steadies each step into the soft sand. The wind sculpts low ripples across the dune surface and a faint trail of his footprints stretches behind him. His weathered face stays half-turned against the glare. Wide tracking shot keeping low and following him across the sand.
1011,1,"The Bedouin in the indigo robe and white headscarf crests a high dune ridge, where the sand falls away steeply on the far side into a shadowed bowl. He pauses at the top, the leather water skin swinging forward, and plants his curved walking staff to brace his weight. The headscarf flutters around his face in a sharper gust of wind. His footprints curl back behind him in a long, narrow line. Wide tracking shot keeping low and following him across the sand."
1011,2,"The Bedouin in the indigo robe and white headscarf side-steps down the steep face of the dune, raising small avalanches of red grain under each footfall. The leather water skin sways heavily against his thigh and he uses the curved walking staff as a brake on the slope. The headscarf pulls tight against the breeze. Wide tracking shot keeping low and following him across the sand."
1011,3,"The Bedouin in the indigo robe and white headscarf reaches the trough between dunes, where wind has scoured the sand into long, dark furrows. He kneels briefly to study a curl of dry grass embedded in the dune wall, the leather water skin resting in his lap. The curved walking staff lies across his knees as he tilts his head, listening to the desert. Wide tracking shot keeping low and following him across the sand."
1011,4,The Bedouin in the indigo robe and white headscarf rises and continues across the trough toward the next ridge of dunes. The leather water skin bumps against his hip with each long stride and the curved walking staff prints small round holes in the sand. The headscarf billows out behind his shoulder in a sudden gust. His shadow stretches long and angular ahead of him. Wide tracking shot keeping low and following him across the sand.
1011,5,"The Bedouin in the indigo robe and white headscarf climbs the final dune as the sun begins its long descent, dropping his shadow far behind him onto the cooling sand. At the summit he stops, plants the curved walking staff, and lets the leather water skin settle against his side. The dune field unfurls in glowing tangerine waves to the horizon. He looks outward without expression, simply present. Wide tracking shot pulling back to include the wide dune horizon."
1012,0,"A young botanist in a cream linen shirt and rolled-cuff khaki trousers steps into a high alpine meadow at midmorning, a battered brass plant press tucked under one arm. Her chestnut hair is pinned back loosely and a small canvas field bag rides at her hip. Around her, the meadow blazes with purple lupine and yellow arnica, and snow-streaked peaks rise sharply at the horizon. She moves with slow, careful steps so as not to trample any blossoms. Medium tracking shot keeping with her among the flowers."
1012,1,"The botanist in the cream linen shirt and khaki trousers crouches beside a cluster of bright blue gentian, lowering the brass plant press to the grass with care. She runs a finger along a single petal, then carefully separates one flower for pressing. Her chestnut hair falls forward and she tucks it behind one ear. The canvas field bag rests against her thigh as she works. Medium tracking shot keeping with her among the flowers."
1012,2,"The botanist in the cream linen shirt and khaki trousers rises and continues across the meadow toward a small stream cutting through it in a silver line. She steps gingerly over a hummock of tiny white flowers, the brass plant press tucked back under her arm. The canvas field bag swings lightly as she crosses. The wind carries a faint scent of pine and crushed grass. Medium tracking shot keeping with her among the flowers."
1012,3,"The botanist in the cream linen shirt and khaki trousers stops at the stream's edge, kneels, and dips her fingers briefly into the cold water. She lifts a flat, smooth stone from the bed, examines it against the light, then sets it back gently. The brass plant press rests in the grass beside her knee. The canvas field bag has come slightly askew on her hip. Medium tracking shot keeping with her among the flowers."
1012,4,"The botanist in the cream linen shirt and khaki trousers fords the shallow stream and climbs a low rise on the far side, where a single twisted larch tree stands surrounded by paintbrush flowers. She circles the tree slowly, brass plant press held against her chest, head tilted up to read the contortions of its branches. The canvas field bag settles into a steady rhythm with her steps. Medium tracking shot keeping with her among the flowers."
1012,5,"The botanist in the cream linen shirt and khaki trousers reaches the highest point of the meadow, where the flowers thin out into bare alpine grass and tumbled rock. She sets the brass plant press down on a flat stone, slings the canvas field bag off her shoulder, and stands quietly to take in the sweep of meadow and peaks. Her chestnut hair lifts slightly in a thin, cold breeze. Medium tracking shot pulling back to include the high peaks behind her."
1013,0,A grizzled trapper in a heavy deerskin coat and fur-trimmed brown hood pushes slowly through a snowed-over taiga at dawn. A long wooden snowshoe is strapped to each boot and a coil of braided rope hangs over his right shoulder. Frost coats his beard and the breath from his nose steams in thin plumes. Spruce trees burdened with snow stand close together on either side of his narrow path. Medium tracking shot at hip height following him through the trees.
1013,1,"The trapper in the heavy deerskin coat and fur-trimmed hood pauses to inspect a small set of paw prints crossing his path in the snow. He crouches low, the coil of braided rope swinging forward off his shoulder, and traces the tracks with a gloved finger. The wooden snowshoes hold him steady on the powder. His breath plumes thicker as he leans closer. Medium tracking shot at hip height following him through the trees."
1013,2,"The trapper in the heavy deerskin coat and fur-trimmed hood rises and trudges on through a thicket of low spruce branches that brush snow onto his shoulders. He shoulders the coil of braided rope higher and ducks his head into the fur-trimmed hood for warmth. The wooden snowshoes squeak softly with each long, splayed step. Frost has begun to settle on his eyelashes. Medium tracking shot at hip height following him through the trees."
1013,3,"The trapper in the heavy deerskin coat and fur-trimmed hood breaks out of the thicket into a small clearing where the snow lies deeper and unbroken. He pauses, the wooden snowshoes sinking slightly in the powder, and turns a slow half-circle to scan the treeline. The coil of braided rope settles back across his shoulder. The clearing's silence is total except for the creak of his coat. Medium tracking shot at hip height following him through the trees."
1013,4,"The trapper in the heavy deerskin coat and fur-trimmed hood pushes across the clearing toward a fallen birch lying across his path. He plants the heel of one wooden snowshoe on the trunk, steadies himself with a gloved hand, and steps over with practiced ease. The coil of braided rope clatters softly against his back as he lands. His breath rises in a long plume. Medium tracking shot at hip height following him through the trees."
1013,5,"The trapper in the heavy deerskin coat and fur-trimmed hood emerges onto a frozen lake's edge where the trees fall back and the world opens into pale, flat distance. He stops at the shoreline and stands quietly, the coil of braided rope settling against his side. The wooden snowshoes leave their last imprint at the lake's rim. Pale gold dawn light spreads across the ice ahead of him. Medium tracking shot pulling back to include the lake stretching out beyond him."
1020,0,"A snorkeler in a turquoise long-sleeved rashguard and black mask glides slowly above a shallow coral reef in clear tropical water. A pair of dive fins on her feet beat lazily and a small mesh dive bag trails from a clip at her hip. The reef below blooms in pink, yellow, and lavender corals and small reef fish dart between fans. Sunlight ripples in moving bars across her arms. The water above her is glass-clear to the surface. Medium underwater tracking shot just behind and below her."
1020,1,"The snorkeler in the turquoise rashguard glides over a brain-coral mound where a green moray eel rests with only its head visible. She slows her fin kicks, the mesh dive bag drifting forward beside her hip, and tilts her body to keep a respectful distance. The black mask glints as she turns her head. Tiny silvery fish stream past her shoulders in a coordinated arc. Medium underwater tracking shot just behind and below her."
1020,2,"The snorkeler in the turquoise rashguard reaches the edge of the reef where the sand floor drops gently into deeper blue. She hangs in the water there with her dive fins barely moving, the mesh dive bag swaying with the soft current. The black mask reflects the deep cobalt of the open water ahead. A solitary sea turtle paddles past at the edge of visibility. Medium underwater tracking shot just behind and below her."
1020,3,"The snorkeler in the turquoise rashguard turns back along the reef, kicking softly to ride a gentle current parallel to the coral wall. The mesh dive bag clinks faintly as it bumps the clip at her hip. A school of bright yellow tangs parts around her shoulders and reforms behind her in a continuous, glittering river. Light fractures in dancing webs across the sandy floor. Medium underwater tracking shot just behind and below her."
1020,4,"The snorkeler in the turquoise rashguard slows beside a tall coral pillar where a clown anemonefish flits in and out of its host anemone. She raises one hand slowly, palm open, but does not touch. The mesh dive bag floats outward as her body tilts. Her dive fins make slow, controlled scissoring motions to hold her place. Medium underwater tracking shot just behind and below her."
1020,5,"The snorkeler in the turquoise rashguard rises toward the surface, her dive fins lifting in long, slow strokes as the water around her brightens. The mesh dive bag swings beneath her and her black mask catches the silver shimmer of the surface just above her head. A halo of bubbles trails from her snorkel. She breaks through into the sun and the reef shrinks below her into a colored mosaic. Medium underwater tracking shot pulling back to include the sun-rippled surface above her."
1021,0,A balloon pilot in a brown tweed jacket and leather flight cap stands in the wicker basket of a striped red-and-white hot-air balloon as it drifts over a sweeping desert canyon at sunrise. A pair of round brass goggles sits pushed up on his forehead and a worn leather logbook is wedged between two ropes at his side. The propane burner above him hisses softly as he adjusts a valve. The canyon walls glow orange below. Wide tracking shot circling around the basket at its altitude.
1021,1,The balloon pilot in the tweed jacket and leather flight cap leans gently over the basket's edge to look down at a herd of wild mustangs trotting along the canyon floor. The leather logbook stays wedged at his side and the round brass goggles glint as he tilts his head. The basket creaks softly under his shift in weight. The canyon's red strata slide slowly beneath him. Wide tracking shot circling around the basket at its altitude.
1021,2,"The balloon pilot in the tweed jacket and leather flight cap turns to crank a small valve on the burner, sending a longer plume of orange flame upward. The leather logbook rocks against the rope and the round brass goggles catch a flash of the firelight. The balloon noses slightly upward as he resumes his lookout posture. The canyon's far rim glows a deeper crimson. Wide tracking shot circling around the basket at its altitude."
1021,3,The balloon pilot in the tweed jacket and leather flight cap drifts now over a side branch of the canyon where a thin river ribbons through the floor. He lowers the round brass goggles over his eyes for a clearer look and pulls the leather logbook out to mark the time and altitude in pencil. The basket sways with a gentle thermal current. Wide tracking shot circling around the basket at its altitude.
1021,4,The balloon pilot in the tweed jacket and leather flight cap reaches into a small woven hamper at his feet and lifts out a slice of bread and a tin cup. The leather logbook is tucked back among the ropes and the round brass goggles rest on his forehead again. He chews slowly while watching a high condor circle in the distance. The balloon drifts past a tall pillar of red rock. Wide tracking shot circling around the basket at its altitude.
1021,5,"The balloon pilot in the tweed jacket and leather flight cap rises out of the canyon and into open sky as the sun lifts fully above the eastern rim. The leather logbook flaps once against the rope and the round brass goggles glow gold in the new light. He lowers the burner to a soft hush and stands quietly, both hands resting on the basket's rim. The desert unfurls in shades of rose and gold below him. Wide tracking shot pulling back to include the full balloon and the open sky."
1022,0,"A scuba diver in a bright canary-yellow drysuit and matte-black hood drifts slowly into a towering underwater kelp forest off a temperate coast. A silver dive light hangs from a coil at her chest and a small camera in an aluminum housing rides at her hip. Long ribbons of kelp sway around her in slow vertical columns, filtering the daylight into greenish shafts. Tiny fish hover among the fronds. Medium tracking shot weaving between kelp stalks beside her."
1022,1,"The diver in the canary-yellow drysuit drifts past a granite boulder furred with red algae, the silver dive light casting a moving cone across its surface. She rotates her body slowly to follow a sea otter that twists by in a brown blur overhead. The aluminum camera housing swings gently from her hip. The kelp fronds part and close around her shoulders. Medium tracking shot weaving between kelp stalks beside her."
1022,2,"The diver in the canary-yellow drysuit enters a denser thicket of kelp where the light dims and the columns press close together. She lifts the silver dive light and pans its beam across a cluster of orange sea stars clinging to a rock face. The aluminum camera housing rises in her other hand as she frames a shot. Bubbles from her regulator trace a long, slow ribbon upward. Medium tracking shot weaving between kelp stalks beside her."
1022,3,"The diver in the canary-yellow drysuit emerges from the thicket into a clearer corridor where a school of silver sardines flashes past in a tight, twisting cloud. She holds still in the water, the silver dive light lowered to her side, and lets the school flow around her. The aluminum camera housing dangles forgotten at her hip for a moment. Her hooded head turns gently with the school. Medium tracking shot weaving between kelp stalks beside her."
1022,4,The diver in the canary-yellow drysuit drifts to the base of a kelp stalk and crouches near the rocky bottom where a small octopus is folded into a crevice. She points the silver dive light away to avoid blinding it and raises the aluminum camera housing slowly. The octopus shifts color from pale to deeper red as it watches her. Sand drifts up in tiny clouds around her flippers. Medium tracking shot weaving between kelp stalks beside her.
1022,5,"The diver in the canary-yellow drysuit rises gently with the kelp toward the bright surface ceiling far above. The silver dive light clicks off and folds against her chest, and the aluminum camera housing settles against her hip. Sunbeams thicken as she ascends, breaking through the canopy of kelp into shafts of gold. Her hooded head tilts back to watch the surface approach. Medium tracking shot pulling back to include the kelp tops and the bright surface above her."
1023,0,"A glider pilot in a white aerodynamic helmet and slim charcoal flight suit banks her long-winged sailplane in a gentle curve along a high mountain ridge. The cockpit canopy is clear plexiglass and a small stuffed fox dangles from the instrument panel by a strap. Her dark visor is flipped up and her hands rest lightly on the stick. Below her, the green flank of the ridge falls steeply into a valley. Medium tracking shot beside and slightly above the cockpit, holding pace with the glider."
1023,1,"The glider pilot in the white helmet and charcoal flight suit catches an updraft along the ridge and angles the sailplane into a tight, steady spiral. The little stuffed fox swings on its strap with the bank. She nudges the stick with two fingers and watches the variometer needle climb. The cockpit canopy reflects a slow turn of mountain peaks. Medium tracking shot beside and slightly above the cockpit, holding pace with the glider."
1023,2,"The glider pilot in the white helmet and charcoal flight suit levels out at the top of the thermal and turns the long-winged sailplane along a saddle between two peaks. She slides her dark visor down for the brighter light beyond the ridge. The little stuffed fox steadies against the panel. A pair of vultures circles below her in lazy arcs. Medium tracking shot beside and slightly above the cockpit, holding pace with the glider."
1023,3,"The glider pilot in the white helmet and charcoal flight suit drops the right wing and slips down across the saddle into a new valley, the long wings flexing slightly with the change in pressure. The little stuffed fox sways forward against its strap. She glances at the altimeter and nudges the stick to flatten her descent. Forested slopes scroll beneath her in a green tide. Medium tracking shot beside and slightly above the cockpit, holding pace with the glider."
1023,4,"The glider pilot in the white helmet and charcoal flight suit angles her sailplane to follow a winding river that cuts the valley floor far below. She flips her dark visor up again as cloud shadows cool the light. The little stuffed fox dangles motionless for a long, smooth stretch of glide. Her shoulders relax against the seat back. Medium tracking shot beside and slightly above the cockpit, holding pace with the glider."
1023,5,"The glider pilot in the white helmet and charcoal flight suit lines up on a long, golden ridge as the afternoon light deepens and the long wings catch the warm color. The little stuffed fox glows briefly in the sun. She rests her gloved hand against the canopy frame and exhales slowly behind her oxygen mask. The ridge unspools into hazy distance ahead of her. Medium tracking shot pulling back to include the full sailplane against the wide sky."
1030,0,"An elderly Korean grandmother in a soft lavender hanbok with a pale yellow jeogori walks slowly along a stone-paved riverside path on an autumn afternoon. Her silver hair is pulled into a low knot pinned with a small jade pin and she carries a folded paper fan in her right hand. Ginkgo leaves drift across the path in a soft yellow rain. She breathes the cool air with a small, contented smile. Medium tracking shot at her shoulder height."
1030,1,"The grandmother in the lavender hanbok pauses at a low stone wall overlooking the river and rests her left hand on its mossy top. She fans herself lightly with the folded paper fan, the jade pin in her hair catching a slant of late sun. A heron stands motionless in the shallows below her. Ginkgo leaves continue to fall in slow loops around her. Medium tracking shot at her shoulder height."
1030,2,The grandmother in the lavender hanbok resumes walking and approaches a small wooden bridge crossing a side channel. She lifts the hem of her hanbok an inch to keep it from the damp boards and steps carefully onto the bridge. The paper fan rests against her hip. Her jade pin glints with each small movement of her head. Medium tracking shot at her shoulder height.
1030,3,"The grandmother in the lavender hanbok stops in the middle of the bridge to watch a paper boat drift beneath her, sent by children playing on the bank. Her smile widens for a moment and she lifts the folded paper fan to wave at them without quite calling out. Ginkgo leaves settle on the bridge's rail beside her hand. The pale yellow jeogori catches the sun like a soft lantern. Medium tracking shot at her shoulder height."
1030,4,"The grandmother in the lavender hanbok steps off the far side of the bridge onto a path lined with maples beginning to turn red at their tips. She walks with the same unhurried pace, the folded paper fan tapping lightly against her thigh. The jade pin shifts faintly with each step. A scent of dry grass and river drifts past her. Medium tracking shot at her shoulder height."
1030,5,"The grandmother in the lavender hanbok arrives at a small pavilion at the path's end, where a long wooden bench faces the river. She lowers herself slowly onto the bench, smoothing the hanbok over her knees, and rests the folded paper fan across her lap. Her silver hair lifts faintly in a soft breeze. The river curls past in slow brown ribbons before her. Medium tracking shot pulling back to include the pavilion and the river beyond."
1031,0,"A young backpacker in a patched mustard canvas pack and faded olive cargo shorts climbs a narrow stone lane into a small Andean village at midmorning. His sun-bleached brown hair is tied at the nape and a red bandana hangs loose around his neck. The lane is steep and uneven, with adobe walls on either side. He breathes hard, smiling, as the village rooftops appear above the walls. Medium tracking shot from slightly above and to the side as he climbs."
1031,1,"The backpacker with the mustard canvas pack and red bandana stops to lean a hand on a low whitewashed wall, catching his breath. A black-and-white dog wanders over and noses his shin, and he scratches its ears with his free hand. His olive shorts are dusty at the cuffs and the bandana drifts down against his collarbone. The lane rises steeply ahead. Medium tracking shot from slightly above and to the side as he climbs."
1031,2,The backpacker with the mustard canvas pack and red bandana resumes climbing and reaches a small square where two women in bright pollera skirts are stacking woven baskets by a stone fountain. He nods in greeting and they nod back without pausing in their work. The canvas pack creaks softly as he adjusts a strap. Sunlight glances off the wet stones around the fountain. Medium tracking shot from slightly above and to the side as he climbs.
1031,3,The backpacker with the mustard canvas pack and red bandana follows a stepped lane up out of the square between two clay-tiled rooftops. He pauses again to look back over the steps at the descending zigzag of walls below. The red bandana flutters slightly as he turns his head. The mustard pack is dusted with fine adobe powder along its bottom edge. Medium tracking shot from slightly above and to the side as he climbs.
1031,4,"The backpacker with the mustard canvas pack and red bandana reaches a small chapel with a faded blue door set into the hillside. He sets a hand on the lintel and peers into the cool dim interior, then steps back without entering. His olive shorts pull tight as he stretches his calf against the chapel step. The bandana flicks back into place against his neck. Medium tracking shot from slightly above and to the side as he climbs."
1031,5,"The backpacker with the mustard canvas pack and red bandana crests the final lane and emerges onto a stone terrace at the village's edge, where the Andes range falls away into deep green and gold valleys. He drops the mustard pack to the terrace floor with a sigh and stretches his shoulders. The bandana is dark with sweat now. He grins at the view and lifts both arms briefly in private celebration. Medium tracking shot pulling back to include the wide valley behind him."
1032,0,A young bride in a long white silk dress with a sheer lace train walks slowly across an empty stone courtyard in the gray pre-dawn light. Her pale blonde hair is pinned up loosely with a single white camellia and she carries a small posy of white anemones in her hands. Mist curls along the courtyard's edges and the air is cool enough that her breath shows faintly. Her bare feet pad softly on the stone. Medium tracking shot at her waist height following her across the courtyard.
1032,1,"The bride in the white silk dress and white camellia pauses at the foot of an old marble fountain where a few water-lilies float in still water. She lowers the small posy of anemones into the water briefly and lifts it, dripping, then sets it down on the rim of the fountain. Her lace train trails behind her in a soft white river. Mist drifts upward from the fountain's basin. Medium tracking shot at her waist height following her across the courtyard."
1032,2,The bride in the white silk dress and white camellia drifts onward and stops beside a long row of clipped boxwoods that line one wall of the courtyard. She runs her fingertips lightly along the boxwood tops. Dew collects on her fingers and she touches them briefly to her cheek. The lace train sweeps a pattern through the dew on the flagstones behind her. Medium tracking shot at her waist height following her across the courtyard.
